Run,Patients_Seen,Mean_Q_Time_Consult_One,Mean_Q_Time_Consult_Two,Mean_Duration_Consult_One,Mean_Duration_Consult_Two,Mean_Duration_Diagnostics,Mean_Duration_Discharge,Mean_Time_UTC,Mean_Less4h
99,158,114.64624451510348,123.46398803515504,35.44817042358776,22.10746635125806,36.35422157786847,14.383659810001916,181.74949968201108,0.8291139240506329
100,125,37.86258103377307,34.20645781052375,38.58012725486969,18.81687210881033,44.56625517831898,17.52366331332839,106.45783849447074,0.952
101,148,59.45372159832234,70.84385281884873,36.48743607359545,14.405907271684963,40.08613581508764,15.222123775228688,123.86624387001352,0.9391891891891891
102,152,38.78652353842403,20.007741366294262,33.205189332696925,30.637298585963695,39.60657671881107,15.266341922968222,94.38318242601568,0.9802631578947368
103,175,56.32903210107233,48.91691130877328,31.004181033580874,25.096435730653187,45.176743703699614,13.537028702138612,115.85413895878482,0.9485714285714286
104,139,130.50116290745697,125.78063194421614,38.59521936598372,19.33508622168688,37.373869221230606,14.666280960963986,194.26566106963537,0.6690647482014388
105,162,42.058518300594635,41.0458054864338,32.655329518509035,19.264689036506923,33.69837407860942,14.834031479099151,102.31451577495655,0.9876543209876543
106,172,149.10996600420884,173.90334416769622,31.38096878123538,24.00217931695991,22.28877546952869,14.299919021406465,210.15324675714265,0.6686046511627907
107,150,61.05041175985605,60.60477599233048,36.10596112075007,17.87846897538211,45.672596064742706,15.717575276801611,124.46182665377022,0.94
108,134,35.88637311793983,33.27852859061419,39.59948416509767,17.565305017933866,40.12132245396504,14.960919235099285,101.98713213800784,0.9626865671641791
109,133,74.24693018675704,93.42115723306155,39.6663763272558,21.69934569134532,52.439817606777936,17.79891051868007,144.31073737338352,0.924812030075188
110,147,131.24450891103967,137.66409713017444,37.106511295919596,15.599552493694185,54.760254723491066,15.943363945548453,201.2759273645371,0.7891156462585034
111,141,48.48467123787542,35.78878620019901,37.49335007246061,16.084020671312974,56.52847826690359,14.535761076424901,108.97062023443875,0.9787234042553191
112,161,88.45695250996602,89.89152321867952,34.52929265416804,25.017112198973013,45.98710195439294,14.11878981665582,151.09596866531555,0.906832298136646
113,150,73.30137096110266,81.26834492249374,37.79276042162742,16.537482206695252,42.73463423834195,15.581773235056753,142.60382357277368,0.92
114,139,9.783582760668946,10.270076963013889,33.29414032834695,16.862185981326263,42.81442521778901,15.551429152487787,65.17092883220641,0.9928057553956835
115,157,83.24221567203035,82.74495490754246,33.52734415391472,30.25787768976549,43.18233674988447,15.826834438562098,149.508164193821,0.89171974522293
